Word,Valence,Extremity,Emotionality,Valence_StdDev,Extremity_StdDev,Emotionality_StdDev
disrespect,1.24,3.26,5.15,1.18,1.18,2.27
hazardous,1.24,3.26,3.89,1.55,1.21,3.00
horror,1.24,3.26,6.26,1.77,1.55,2.65
angry,1.24,3.26,7.72,1.27,1.15,1.73
bitterly,1.24,3.26,6.44,1.20,1.20,1.89
disrespectful,1.24,3.26,4.55,1.27,1.27,2.85
greedy,1.24,3.26,4.85,1.16,1.16,2.36
mean,1.24,3.26,6.06,1.01,1.01,1.95
reeked,1.24,3.26,3.26,1.13,1.13,2.52
uncaring,1.23,3.27,5.33,1.10,1.10,2.87
abysmally,1.23,3.27,5.57,1.56,1.28,2.26
angered,1.23,3.27,6.89,1.07,1.07,2.08
defile,1.23,3.27,5.15,1.59,1.36,3.03
yuk,1.23,3.27,4.16,0.93,0.93,3.07
dissatisfaction,1.22,3.28,4.97,0.93,0.93,2.32
stinking,1.22,3.28,3.32,1.01,1.01,2.83
atrociousness,1.22,3.28,5.93,1.25,1.24,2.99
appalling,1.21,3.29,6.23,1.74,1.09,2.69
bitch,1.21,3.29,6.96,2.18,1.42,2.55
mortified,1.21,3.29,7.44,1.40,1.31,2.19
distressed,1.20,3.30,7.03,1.30,0.99,1.81
intolerance,1.20,3.30,3.45,1.22,1.22,3.02
unhappily,1.20,3.30,6.45,1.19,1.19,2.23
stunk,1.19,3.31,3.43,1.20,1.20,2.88
swindle,1.19,3.31,4.14,1.30,1.30,2.70
shame,1.19,3.31,6.73,1.31,0.78,2.32
abominable,1.19,3.31,5.38,1.42,1.22,2.96
abhorrent,1.18,3.32,6.33,1.42,1.42,2.14
dreaded,1.18,3.32,6.34,1.16,1.16,2.92
sucks,1.17,3.33,5.56,1.36,1.36,2.33
condemnable,1.17,3.33,5.77,1.53,1.08,2.24
contemptuous,1.17,3.33,6.03,1.39,1.31,2.14
coward,1.17,3.33,6.20,1.23,1.14,2.19
